Kuukausi,Etäpalvelut ja ohjaus,Hallinto ja työpaikkayhteistyö,Hoitaja ja fysioterapia,Laboratorio,Lääkäripalvelut,Mielenterveys,Muut,Tutkimukset ja toimenpiteet
2023-01,644.38,114.35,178.8,381.09999999999997,1850.65,673.6800000000001,48.0,235.8
2023-02,1256.9,114.43,215.4,625.9,672.4300000000001,1976.24,572.7,624.0
2023-03,741.05,133.74,219.45,1568.15,1344.02,988.08,286.95,546.0
2023-04,682.3,119.75,133.2,390.34999999999997,1237.6100000000001,449.12,817.1,774.0
2023-05,817.04,124.75,54.0,450.2,1250.17,1274.04,108.1,615.0
2023-06,502.48,110.84,300.13,453.0,1037.19,1437.8799999999999,666.2,725.0
2023-07,510.42,110.07,230.55,254.5,657.19,0.0,148.5,765.0
2023-08,809.64,157.89,204.55,965.0,1960.3,776.0,475.2,598.0
2023-09,1697.38,147.89,403.35,904.9,923.69,859.5,551.9,1362.25
2023-10,1709.12,147.89,101.5,1092.75,1832.96,485.0,1053.4,1208.0
2023-11,1781.71,148.20999999999998,0.0,1525.55,1301.59,485.0,2669.55,641.0
2023-12,1380.51,137.13,177.1,394.8,1290.13,485.0,24.0,523.0
