Koodi,Seloste,Summa €,Label
C537T,"Neuvonta ja ohjaus (yksilö) T, tpsy",4936.5,"C537T | Neuvonta ja ohjaus (yksilö) T, tpsy"
B5238%,"Työyhteisötyö, alv, tpsy",3026.41,"B5238% | Työyhteisötyö, alv, tpsy"
D131,"Puhelinneuvonta ja ohjaus, tt-lääkäri",2570.32,"D131 | Puhelinneuvonta ja ohjaus, tt-lääkäri"
0101B,"Käynti lääkärillä, enint. 20 min",2065.14,"0101B | Käynti lääkärillä, enint. 20 min"
B1124,"Raportointi yritykselle, tt-lääkäri",1694.51,"B1124 | Raportointi yritykselle, tt-lääkäri"
0101C,"Käynti lääkärillä, 30 min",1469.98,"0101C | Käynti lääkärillä, 30 min"
C131,"Puhelinneuvonta ja ohjaus, tt-lääkäri",1460.42,"C131 | Puhelinneuvonta ja ohjaus, tt-lääkäri"
RK35,"Influenssarokotus (FluarixTetra), pistos+rokoteain",1421.0,"RK35 | Influenssarokotus (FluarixTetra), pistos+rokoteain"
EC537T,"Neuvonta ja ohjaus (yksilö) T, tpsy",1383.24,"EC537T | Neuvonta ja ohjaus (yksilö) T, tpsy"
E101T01,"Etävastaanottokäynti, lääkäri, ma-pe",1255.5,"E101T01 | Etävastaanottokäynti, lääkäri, ma-pe"
C345T,"Neuvonta ja ohjaus (yksilö) T, työfysioterapeutti",1046.72,"C345T | Neuvonta ja ohjaus (yksilö) T, työfysioterapeutti"
0101BE,"Käynti erikoislääkärillä,  20 min",1030.0,"0101BE | Käynti erikoislääkärillä,  20 min"
0101CE,"Käynti erikoislääkärillä,  30 min",1022.0,"0101CE | Käynti erikoislääkärillä,  30 min"
6128,B -HbA1c,956.8000000000001,6128 | B -HbA1c
0101D,"Käynti lääkärillä, 45 min",945.0,"0101D | Käynti lääkärillä, 45 min"
