Koodi,Seloste,Summa €,Label
6128,B -HbA1c,956.8000000000001,6128 | B -HbA1c
2474,B -PVK+T,672.3,2474 | B -PVK+T
1395,S -Ferrit,663.0,1395 | S -Ferrit
9951,fS-TtPakA,532.8,9951 | fS-TtPakA
6141,F -CldTNhO,450.2,6141 | F -CldTNhO
1784,"Pt-PolAMb, unipolygrafia",429.0,"1784 | Pt-PolAMb, unipolygrafia"
2245,fS-Lipidit,388.7,2245 | fS-Lipidit
B3122,"Suunnattu selvitys työpaikalle, työfysioterapeutti",376.95000000000005,"B3122 | Suunnattu selvitys työpaikalle, työfysioterapeutti"
6434,S -Lipidit,328.9,6434 | S -Lipidit
3696,B -TVK,327.3,3696 | B -TVK
2832,S -TSH,304.2,2832 | S -TSH
2836,S -T4-V,304.2,2836 | S -T4-V
6307,-TrvaNhO,270.3,6307 | -TrvaNhO
650,S -Reumapa,261.8,650 | S -Reumapa
9828,Pt-GlukR1p,255.0,9828 | Pt-GlukR1p
1216P,S -CRPp,246.2,1216P | S -CRPp
0104T1,"B-lausunto, eritt. laaja, työterveyslääkäri",217.0,"0104T1 | B-lausunto, eritt. laaja, työterveyslääkäri"
1216,S -CRP,199.0,1216 | S -CRP
1270,Pt-EKG-12,195.0,1270 | Pt-EKG-12
1026,S -ALAT,188.1,1026 | S -ALAT
3642,S -PSA,179.39999999999998,3642 | S -PSA
2455,F -Para-O,168.6,2455 | F -Para-O
EC510E,"Ravitsemusterapeutin terveydenhoito E, etä, tunti",166.45,"EC510E | Ravitsemusterapeutin terveydenhoito E, etä, tunti"
2143,S -Krea,148.5,2143 | S -Krea
9100,Pt-Keli-La,145.4,9100 | Pt-Keli-La
2682,Pt-FVSpirD,141.75,2682 | Pt-FVSpirD
4113P,B -FiDDp,139.4,4113P | B -FiDDp
1189,S -Bil-Kj,136.8,1189 | S -Bil-Kj
1185,S -Bil,136.8,1185 | S -Bil
ERAV1,"Ravitsemusterapeutin etävastaanottokäynti, 60 min",130.0,"ERAV1 | Ravitsemusterapeutin etävastaanottokäynti, 60 min"
1046,S -AFOS,128.70000000000002,1046 | S -AFOS
1137,S -B12-Vit,127.8,1137 | S -B12-Vit
10143,Pt-PapaLBC,126.6,10143 | Pt-PapaLBC
1468,fP-Gluk,118.8,1468 | fP-Gluk
2382,S -Na,108.9,2382 | S -Na
2001,S -K,108.9,2001 | S -K
4224,S -IgE-Er,103.1,4224 | S -IgE-Er
2303,S -Mg,102.60000000000001,2303 | S -Mg
3509,Sk-SienVi,96.1,3509 | Sk-SienVi
2775,S -T3-V,95.4,2775 | S -T3-V
"4043
II",Ts-PADGast,93.9,"4043
II | Ts-PADGast"
4764,Ts-PADColo,93.9,4764 | Ts-PADColo
4054,Ts-PAD-1,93.9,4054 | Ts-PAD-1
4043,Ts-PADGast,93.9,4043 | Ts-PADGast
3442,F -BaktVi1,92.4,3442 | F -BaktVi1
2735,S -Testo,88.8,2735 | S -Testo
1220,S -D-25,87.7,1220 | S -D-25
4816,U -CtGcNhO,83.7,4816 | U -CtGcNhO
1142,S -B12-TC2,78.7,1142 | S -B12-TC2
"3950
II",S -HepyAb,70.2,"3950
II | S -HepyAb"
1881P,"U-Kemseup, pika",68.5,"1881P | U-Kemseup, pika"
1887,S -KysC,67.2,1887 | S -KysC
"3696
II",B -TVK,66.9,"3696
II | B -TVK"
5017,S -RuisE,62.0,5017 | S -RuisE
2360,S -MonAb-O,60.1,2360 | S -MonAb-O
2203,B -La,59.400000000000006,2203 | B -La
2019,fS-Ca-Ion,48.2,2019 | fS-Ca-Ion
3695,B-PVKTmd,46.4,3695 | B-PVKTmd
8022,S -hsCRP,43.8,8022 | S -hsCRP
"8022
II",S -hsCRP,43.8,"8022
II | S -hsCRP"
4803,F -Calpro,43.6,4803 | F -Calpro
"4803
II",F -Calpro,43.6,"4803
II | F -Calpro"
"4511
II",U -AlbKre,41.0,"4511
II | U -AlbKre"
6354,Pt-GFRe,34.2,6354 | Pt-GFRe
1489,S -GT,29.700000000000003,1489 | S -GT
1471,P -Gluk,29.700000000000003,1471 | P -Gluk
1155,U -BaktVi,19.8,1155 | U -BaktVi
2703,Ps-StrVi,16.9,2703 | Ps-StrVi
3635,Ps-StrAAg,14.9,3635 | Ps-StrAAg
1078,S -Amyl,12.9,1078 | S -Amyl
1128,S -ASAT,9.9,1128 | S -ASAT
