Kuukausi,Koodi,Kl,Seloste,a_hinta,Alennus,Hinta,Tunnit,Lkm,Summa €,Onko_labra
2023-01,1026,II,S -ALAT,9.9,,9.9,,1.0,9.9,True
2023-01,1137,II,S -B12-Vit,63.9,,63.9,,1.0,63.9,True
2023-01,1395,II,S -Ferrit,66.3,,66.3,,1.0,66.3,True
2023-01,1468,II,fP-Gluk,9.9,,9.9,,1.0,9.9,True
2023-01,2001,II,S -K,9.9,,9.9,,1.0,9.9,True
2023-01,2143,II,S -Krea,9.9,,9.9,,1.0,9.9,True
2023-01,2245,II,fS-Lipidit,29.9,,29.9,,1.0,29.9,True
2023-01,2382,II,S -Na,9.9,,9.9,,1.0,9.9,True
2023-01,2474,II,B -PVK+T,24.9,,24.9,,2.0,49.8,True
2023-01,2832,II,S -TSH,16.9,,16.9,,1.0,16.9,True
2023-01,2836,II,S -T4-V,16.9,,16.9,,1.0,16.9,True
2023-01,3642,II,S -PSA,29.9,,29.9,,1.0,29.9,True
2023-01,6128,II,B -HbA1c,58.0,,58.0,,1.0,58.0,True
2023-02,0104T1,I,"B-lausunto, eritt. laaja, työterveyslääkäri",217.0,,217.0,1:00,1.0,217.0,True
2023-02,B3122,I,"Suunnattu selvitys työpaikalle, työfysioterapeutti",107.7,,107.7,2:00,1.0,215.4,True
2023-02,1026,II,S -ALAT,9.9,,9.9,,1.0,9.9,True
2023-02,1046,II,S -AFOS,9.9,,9.9,,1.0,9.9,True
2023-02,1216P,II,S -CRPp,47.8,,47.8,,1.0,47.8,True
2023-02,1784,II,"Pt-PolAMb, unipolygrafia",429.0,,429.0,,1.0,429.0,True
2023-02,2143,II,S -Krea,9.9,,9.9,,1.0,9.9,True
2023-02,2832,II,S -TSH,16.9,,16.9,,1.0,16.9,True
2023-02,2836,II,S -T4-V,16.9,,16.9,,1.0,16.9,True
2023-02,3696,II,B -TVK,64.5,,64.5,,1.0,64.5,True
2023-02,4113P,II,B -FiDDp,68.0,,68.0,,1.0,68.0,True
2023-02,4224,II,S -IgE-Er,103.1,,103.1,,1.0,103.1,True
2023-02,5017,II,S -RuisE,62.0,,62.0,,1.0,62.0,True
2023-02,9100,II,Pt-Keli-La,72.7,,72.7,,1.0,72.7,True
2023-03,1270,I,Pt-EKG-12,39.0,,39.0,,1.0,39.0,True
2023-03,1468,I,fP-Gluk,9.9,,9.9,,2.0,19.8,True
2023-03,2245,I,fS-Lipidit,29.9,,29.9,,2.0,59.8,True
2023-03,2474,I,B -PVK+T,24.9,,24.9,,1.0,24.9,True
2023-03,1026,II,S -ALAT,9.9,,9.9,,2.0,19.8,True
2023-03,1046,II,S -AFOS,9.9,,9.9,,1.0,9.9,True
2023-03,1137,II,S -B12-Vit,63.9,,63.9,,1.0,63.9,True
2023-03,1142,II,S -B12-TC2,78.7,,78.7,,1.0,78.7,True
2023-03,1185,II,S -Bil,34.2,,34.2,,1.0,34.2,True
2023-03,1189,II,S -Bil-Kj,34.2,,34.2,,1.0,34.2,True
2023-03,1216,II,S -CRP,19.9,,19.9,,1.0,19.9,True
2023-03,1220,II,S -D-25,87.7,,87.7,,1.0,87.7,True
2023-03,1395,II,S -Ferrit,66.3,,66.3,,4.0,265.2,True
2023-03,1468,II,fP-Gluk,9.9,,9.9,,2.0,19.8,True
2023-03,1471,II,P -Gluk,9.9,,9.9,,1.0,9.9,True
2023-03,2001,II,S -K,9.9,,9.9,,2.0,19.8,True
2023-03,2019,II,fS-Ca-Ion,48.2,,48.2,,1.0,48.2,True
2023-03,2143,II,S -Krea,9.9,,9.9,,3.0,29.7,True
2023-03,2245,II,fS-Lipidit,29.9,,29.9,,2.0,59.8,True
2023-03,2303,II,S -Mg,34.2,,34.2,,1.0,34.2,True
2023-03,2382,II,S -Na,9.9,,9.9,,2.0,19.8,True
2023-03,2474,II,B -PVK+T,24.9,,24.9,,4.0,99.6,True
2023-03,2832,II,S -TSH,16.9,,16.9,,5.0,84.5,True
2023-03,2836,II,S -T4-V,16.9,,,,5.0,84.5,True
2023-03,3642,II,S -PSA,29.9,,,,1.0,29.9,True
2023-03,3696,II,B -TVK,64.5,,,,1.0,64.5,True
2023-03,6128,II,B -HbA1c,58.0,,,,2.0,116.0,True
2023-03,9951,II,fS-TtPakA,129.95,,,,1.0,129.95,True
2023-04,1270,I,Pt-EKG-12,39.0,,39.0,,1.0,39.0,True
2023-04,6128,I,B -HbA1c,58.0,,58.0,,1.0,58.0,True
2023-04,9951,I,fS-TtPakA,129.95,,129.95,,1.0,129.95,True
2023-04,1026,II,S -ALAT,9.9,,9.9,,1.0,9.9,True
2023-04,1468,II,fP-Gluk,9.9,,9.9,,1.0,9.9,True
2023-04,2143,II,S -Krea,9.9,,9.9,,1.0,9.9,True
2023-04,2245,II,fS-Lipidit,29.9,,29.9,,1.0,29.9,True
2023-04,2832,II,S -TSH,16.9,,16.9,,1.0,16.9,True
2023-04,2836,II,S -T4-V,16.9,,16.9,,1.0,16.9,True
2023-04,6128,II,B -HbA1c,58.0,,58.0,,1.0,58.0,True
2023-04,9828,II,Pt-GlukR1p,51.0,,51.0,,1.0,51.0,True
2023-05,1026,II,S -ALAT,9.9,,9.9,,1.0,9.9,True
2023-05,1046,II,S -AFOS,9.9,,9.9,,2.0,19.8,True
2023-05,1155,II,U -BaktVi,9.9,,9.9,,2.0,19.8,True
2023-05,1216P,II,S -CRPp,47.8,,47.8,,1.0,47.8,True
2023-05,1395,II,S -Ferrit,66.3,,66.3,,1.0,66.3,True
2023-05,1881P,II,"U-Kemseup, pika",33.4,,33.4,,1.0,33.4,True
2023-05,2143,II,S -Krea,9.9,,9.9,,1.0,9.9,True
2023-05,2474,II,B -PVK+T,24.9,,24.9,,1.0,24.9,True
2023-05,2832,II,S -TSH,16.9,,16.9,,1.0,16.9,True
2023-05,2836,II,S -T4-V,16.9,,16.9,,1.0,16.9,True
2023-05,3509,II,Sk-SienVi,96.1,,96.1,,1.0,96.1,True
2023-05,3695,II,B-PVKTmd,46.4,,46.4,,1.0,46.4,True
2023-05,3696,II,B -TVK,64.5,,64.5,,1.0,64.5,True
2023-05,6434,II,S -Lipidit,29.9,,29.9,,1.0,29.9,True
2023-05,8022,II,S -hsCRP,43.8,,43.8,,1.0,43.8,True
2023-06,1026,I,S -ALAT,9.9,,9.9,,1.0,9.9,True
2023-06,1468,I,fP-Gluk,9.9,,9.9,,1.0,9.9,True
2023-06,2143,I,S -Krea,9.9,,9.9,,1.0,9.9,True
2023-06,2245,I,fS-Lipidit,29.9,,29.9,,1.0,29.9,True
