Kuukausi,B -HbA1c,B -PVK+T,F -CldTNhO,"Pt-PolAMb, unipolygrafia",S -Ferrit,fS-TtPakA
2023-01,58.0,49.8,0.0,0.0,66.3,0.0
2023-02,0.0,0.0,0.0,429.0,0.0,0.0
2023-03,116.0,124.5,0.0,0.0,265.2,129.95
2023-04,116.0,0.0,0.0,0.0,0.0,129.95
2023-05,0.0,24.9,0.0,0.0,66.3,0.0
2023-06,58.0,49.8,0.0,0.0,0.0,0.0
2023-07,58.0,24.9,0.0,0.0,66.3,0.0
2023-08,61.2,74.69999999999999,0.0,0.0,0.0,0.0
2023-09,183.60000000000002,99.6,0.0,0.0,0.0,0.0
2023-10,0.0,99.6,0.0,0.0,66.3,136.45
2023-11,183.60000000000002,124.5,450.2,0.0,132.6,136.45
2023-12,122.4,0.0,0.0,0.0,0.0,0.0
