Palvelu,2023,2024,2025
"C537T | Neuvonta ja ohjaus (yksilö) T, tpsy",1212.5,1959.05,469.62
"0101C | Käynti lääkärillä, 30 min",490.0,1645.48,1237.6000000000001
"EC537T | Neuvonta ja ohjaus (yksilö) T, tpsy",485.0,2461.37,187.85
"0101B | Käynti lääkärillä, enint. 20 min",606.71,863.9,992.8
"0101D | Käynti lääkärillä, 45 min",210.0,906.3,886.5500000000001
"C131 | Puhelinneuvonta ja ohjaus, tt-lääkäri",490.0,1133.38,326.28000000000003
"E101TB | Etävastaanotto puhelimitse, 20 min",0.0,901.7,992.8
"C345T | Neuvonta ja ohjaus (yksilö) T, työfysioterapeutti",1046.72,271.04,513.3199999999999
"E101T01 | Etävastaanottokäynti, lääkäri, ma-pe",232.5,806.0,746.72
"C127 | Kuntoutustarpeen arvio, tt-lääkäri",328.35,680.01,652.56
"EB1126 | Työkyvyn tuki asiakasorganisaatiolle, etä, ttl",0.0,1586.73,0.0
"RK35 | Influenssarokotus (FluarixTetra), pistos+rokoteain",1421.0,0.0,0.0
