Koodi,Seloste,Summa €,Palvelu
C537T,"Neuvonta ja ohjaus (yksilö) T, tpsy",3641.17,"C537T | Neuvonta ja ohjaus (yksilö) T, tpsy"
0101C,"Käynti lääkärillä, 30 min",3373.08,"0101C | Käynti lääkärillä, 30 min"
EC537T,"Neuvonta ja ohjaus (yksilö) T, tpsy",3134.22,"EC537T | Neuvonta ja ohjaus (yksilö) T, tpsy"
0101B,"Käynti lääkärillä, enint. 20 min",2463.41,"0101B | Käynti lääkärillä, enint. 20 min"
0101D,"Käynti lääkärillä, 45 min",2002.8500000000001,"0101D | Käynti lääkärillä, 45 min"
C131,"Puhelinneuvonta ja ohjaus, tt-lääkäri",1949.66,"C131 | Puhelinneuvonta ja ohjaus, tt-lääkäri"
E101TB,"Etävastaanotto puhelimitse, 20 min",1894.5,"E101TB | Etävastaanotto puhelimitse, 20 min"
C345T,"Neuvonta ja ohjaus (yksilö) T, työfysioterapeutti",1831.08,"C345T | Neuvonta ja ohjaus (yksilö) T, työfysioterapeutti"
E101T01,"Etävastaanottokäynti, lääkäri, ma-pe",1785.22,"E101T01 | Etävastaanottokäynti, lääkäri, ma-pe"
C127,"Kuntoutustarpeen arvio, tt-lääkäri",1660.9199999999998,"C127 | Kuntoutustarpeen arvio, tt-lääkäri"
EB1126,"Työkyvyn tuki asiakasorganisaatiolle, etä, ttl",1586.73,"EB1126 | Työkyvyn tuki asiakasorganisaatiolle, etä, ttl"
RK35,"Influenssarokotus (FluarixTetra), pistos+rokoteain",1421.0,"RK35 | Influenssarokotus (FluarixTetra), pistos+rokoteain"
