Kuukausi,-CandVi,B -FiDDp,B -HbA1c,B -La,B -PVK+T,B -TVK,B-PVKTmd,F -BaktVi1,F -Calpro,F -CldTNhO,F -Para-O,"Osatyökykyisen seuranta, tt-lääkäri",P -Gluk,Ps-StrAAg,Ps-StrVi,Pt-EKG-12,Pt-EKG-24h,Pt-FVSpirD,Pt-GFRe,Pt-GlukR1p,Pt-Keli-La,Pt-KlR-tje,Pt-PapaLBC,"Pt-PolAMb, unipolygrafia","Raportointi yritykselle, tt-lääkäri",S -AFOS,S -ALAT,S -ASAT,S -Amyl,S -B12-TC2,S -B12-Vit,S -Bil,S -Bil-Kj,S -CRP,S -CRPp,S -D-25,S -Ferrit,S -GT,S -HepyAb,S -IgE-Er,S -K,S -Krea,S -KysC,S -Lipidit,S -Mg,S -MonAb-O,S -Na,S -PSA,S -RuisE,S -T3-V,S -T4-V,S -TSH,S -Testo,S -hsCRP,Sk-SienVi,U -AlbKre,U -BaktVi,U -CtGcNhO,"U-Kemseup, pika",fP-Gluk,fS-Ca-Ion,fS-Lipidit,fS-TtPakA
2023-01,0.0,0.0,58.0,0.0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,63.9,0.0,0.0,0.0,0.0,0.0,66.3,0.0,0.0,0.0,9.9,9.9,0.0,0.0,0.0,0.0,9.9,29.9,0.0,0.0,16.9,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,29.9,0.0
2023-02,0.0,68.0,0.0,0.0,0.0,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,0.0,9.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8,0.0,0.0,0.0,0.0,103.1,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,16.9,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03,0.0,0.0,116.0,0.0,124.5,64.5,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,39.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,19.8,0.0,0.0,78.7,63.9,34.2,34.2,19.9,0.0,87.7,265.2,0.0,0.0,0.0,19.8,29.7,0.0,0.0,34.2,0.0,19.8,29.9,0.0,0.0,84.5,84.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,48.2,119.6,129.95
2023-04,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.33,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,420.1,0.0,0.0,314.18,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,29.9,129.95
2023-05,0.0,0.0,0.0,0.0,24.9,64.5,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8,0.0,66.3,0.0,0.0,0.0,0.0,9.9,0.0,29.9,0.0,0.0,0.0,0.0,0.0,0.0,16.9,16.9,0.0,43.8,96.1,0.0,19.8,0.0,33.4,0.0,0.0,0.0,0.0
2023-06,0.0,0.0,58.0,0.0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.6,0.0,0.0,9.9,19.8,0.0,0.0,0.0,0.0,34.2,34.2,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,9.9,0.0,59.8,0.0,0.0,0.0,0.0,0.0,0.0,16.9,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,29.9,0.0
2023-07,0.0,0.0,58.0,0.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0
2023-08,43.8,71.4,61.2,9.9,74.69999999999999,66.9,0.0,0.0,0.0,0.0,0.0,0.0,9.9,14.9,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,9.9,9.9,0.0,0.0,0.0,0.0,0.0,39.8,100.4,0.0,0.0,0.0,0.0,0.0,9.9,9.9,0.0,59.8,0.0,60.1,9.9,0.0,0.0,0.0,33.8,33.8,88.8,0.0,0.0,0.0,0.0,83.7,0.0,19.8,0.0,59.8,0.0
2023-09,0.0,0.0,183.60000000000002,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,153.0,72.7,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,29.9,34.2,0.0,9.9,59.8,0.0,0.0,33.8,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,29.9,0.0
2023-10,0.0,0.0,0.0,9.9,99.6,133.8,0.0,0.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,72.7,0.0,0.0,0.0,0.0,29.700000000000003,29.700000000000003,0.0,12.9,0.0,0.0,0.0,0.0,39.8,50.2,0.0,66.3,0.0,70.2,0.0,9.9,19.8,67.2,29.9,0.0,0.0,9.9,29.9,0.0,0.0,16.9,16.9,0.0,43.8,0.0,41.0,0.0,0.0,35.1,0.0,0.0,0.0,136.45
2023-11,0.0,0.0,183.60000000000002,39.6,124.5,0.0,0.0,92.4,43.6,450.2,168.6,0.0,9.9,0.0,0.0,78.0,0.0,141.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.700000000000003,39.6,0.0,0.0,0.0,0.0,34.2,34.2,79.6,0.0,0.0,132.6,19.8,0.0,0.0,39.6,29.700000000000003,0.0,89.69999999999999,34.2,0.0,39.6,29.9,0.0,0.0,33.8,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,59.8,136.45
2023-12,0.0,0.0,122.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,9.9,19.8,0.0,0.0,0.0,0.0,34.2,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,9.9,0.0,29.9,0.0,0.0,9.9,0.0,0.0,0.0,16.9,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0.0
